Timestamp,RUB=X
11/19/2012,31.615800857543945
11/20/2012,31.40999984741211
11/21/2012,31.292999267578125
11/22/2012,31.10740089416504
11/23/2012,31.151199340820312
11/26/2012,31.068199157714844
11/27/2012,30.989200592041016
11/28/2012,31.06220054626465
11/29/2012,31.048200607299805
11/30/2012,30.73430061340332
12/03/2012,30.844999313354492
12/04/2012,30.810800552368164
12/05/2012,30.81999969482422
12/06/2012,30.745500564575195
12/07/2012,30.899999618530273
12/10/2012,30.834999084472656
12/11/2012,30.747600555419922
12/12/2012,30.677000045776367
12/13/2012,30.507999420166016
12/14/2012,30.733999252319336
12/17/2012,30.67620086669922
12/18/2012,30.961999893188477
12/19/2012,30.725000381469727
12/20/2012,30.7549991607666
12/21/2012,30.633899688720703
12/24/2012,30.814199447631836
12/25/2012,30.59119987487793
